state,district,crop_type,season,irrigation_type,soil_type,land_size_acres,land_size_hectares,recommended_dose_kg_per_acre,max_allowed_qty_kg,past_fertilizer_usage_kg,expected_yield_kg,yield_per_ha_kg
Assam,AssamDist118,Paddy,Kharif,Canal,Loam,3.32,1.344,50,203.02,139.09,4920.31,4000
Himachal Pradesh,HimachalDist131,Apple,Rabi,Canal,Loam,2.28,0.923,5,11.89,11.7,18403.88,20000
Tripura,TripuraDist119,Maize,Kharif,Rainfed,Clay,0.85,0.344,30,24.06,22.45,1247.64,3500
Tamil Nadu,TamilDist146,Cotton,Zaid,Rainfed,Clay,2.35,0.951,20,49.66,38.61,634.41,700
Kerala,KeralaDist35,Coconut,Kharif,Rainfed,Clay,0.82,0.332,10,8.56,6.2,2757.63,8000
Odisha,OdishaDist74,Paddy,Kharif,Canal,Clay,1.1,0.445,50,59.07,64.29,2024.78,4000
Assam,AssamDist94,Paddy,Kharif,Rainfed,Loam,2.12,0.858,50,111.86,72.62,3795.41,4000
Chhattisgarh,ChhattisgarhDist199,Paddy,Kharif,Rainfed,Sandy,2.31,0.935,50,112.03,117.74,3740.0,4000
Tripura,TripuraDist48,Paddy,Kharif,Borewell,Clay,0.7,0.283,50,34.52,22.53,1177.03,4000
Assam,AssamDist11,Tea,Rabi,Canal,Sandy,4.23,1.712,10,41.32,29.48,4669.64,2500
Uttar Pradesh,UttarDist7,Sugarcane,Kharif,Canal,Clay,2.88,1.165,80,259.58,270.28,80684.78,70000
Mizoram,MizoramDist62,Paddy,Kharif,Borewell,Loam,1.04,0.421,50,54.91,55.83,1776.02,4000
Goa,GoaDist189,Paddy,Kharif,Rainfed,Sandy,0.53,0.214,50,26.75,31.02,802.79,4000
Tamil Nadu,TamilDist6,Paddy,Kharif,Canal,Clay,1.62,0.656,50,82.22,82.51,2853.89,4000
Odisha,OdishaDist184,Groundnut,Kharif,Borewell,Sandy,1.28,0.518,25,29.93,30.67,714.12,1600
Uttarakhand,UttarakhandDist123,Rice,Rabi,Canal,Clay,1.99,0.805,30,64.98,38.19,2073.08,3000
Punjab,PunjabDist3,Paddy,Kharif,Borewell,Sandy,1.36,0.55,50,65.61,47.6,2071.05,4000
Assam,AssamDist60,Paddy,Kharif,Rainfed,Loam,0.37,0.15,50,17.73,14.74,682.17,4000
Himachal Pradesh,HimachalDist111,Maize,Zaid,Borewell,Loam,1.34,0.542,30,42.57,39.82,2003.67,3500
Tamil Nadu,TamilDist75,Paddy,Kharif,Rainfed,Clay,1.43,0.579,50,69.92,46.95,2310.34,4000
Uttarakhand,UttarakhandDist179,Rice,Kharif,Rainfed,Loam,3.03,1.226,30,83.89,64.31,3222.06,3000
Tamil Nadu,TamilDist144,Paddy,Kharif,Canal,Loam,1.04,0.421,50,53.2,41.0,1864.96,4000
Arunachal Pradesh,ArunachalDist18,Paddy,Kharif,Rainfed,Sandy,6.98,2.825,50,292.97,333.04,11394.74,4000
Odisha,OdishaDist174,Groundnut,Zaid,Canal,Clay,0.39,0.158,25,9.74,6.59,258.0,1600
Odisha,OdishaDist144,Paddy,Kharif,Canal,Loam,5.2,2.104,50,302.17,188.48,8146.15,4000
Telangana,TelanganaDist103,Cotton,Kharif,Borewell,Loam,1.52,0.615,20,32.4,26.76,477.42,700
Meghalaya,MeghalayaDist22,Paddy,Kharif,Rainfed,Sandy,3.62,1.465,50,179.03,225.13,6582.88,4000
Andhra Pradesh,AndhraDist196,Groundnut,Kharif,Rainfed,Sandy,1.94,0.785,25,41.08,32.73,1258.47,1600
Meghalaya,MeghalayaDist6,Millet,Kharif,Borewell,Loam,4.53,1.833,15,70.6,72.67,1789.35,900
Tripura,TripuraDist20,Paddy,Kharif,Borewell,Clay,1.34,0.542,50,73.06,58.92,2467.25,4000
Himachal Pradesh,HimachalDist193,Maize,Rabi,Rainfed,Clay,0.76,0.308,30,20.18,24.28,1061.54,3500
Tamil Nadu,TamilDist194,Paddy,Kharif,Borewell,Sandy,5.68,2.299,50,286.65,212.14,10092.34,4000
Telangana,TelanganaDist129,Paddy,Kharif,Borewell,Loam,1.66,0.672,50,99.47,85.52,3057.68,4000
Telangana,TelanganaDist177,Paddy,Kharif,Borewell,Sandy,2.18,0.882,50,116.22,119.9,3333.5,4000
Tripura,TripuraDist109,Maize,Kharif,Rainfed,Sandy,4.89,1.979,30,138.01,170.0,6314.85,3500
Madhya Pradesh,MadhyaDist102,Soybean,Kharif,Borewell,Sandy,0.8,0.324,20,16.62,13.79,399.83,1200
Madhya Pradesh,MadhyaDist119,Maize,Zaid,Borewell,Sandy,2.93,1.186,30,83.07,96.5,3799.21,3500
Arunachal Pradesh,ArunachalDist7,Paddy,Kharif,Canal,Sandy,1.14,0.461,50,60.06,53.57,1573.49,4000
Odisha,OdishaDist77,Groundnut,Kharif,Borewell,Loam,1.64,0.664,25,46.64,29.87,960.78,1600
Gujarat,GujaratDist139,Groundnut,Rabi,Borewell,Sandy,1.93,0.781,25,51.77,38.14,1392.77,1600
Tamil Nadu,TamilDist2,Cotton,Zaid,Borewell,Sandy,0.55,0.223,20,10.47,9.95,160.47,700
Uttarakhand,UttarakhandDist178,Wheat,Rabi,Borewell,Sandy,0.98,0.397,45,47.96,35.78,1405.46,3500
Chhattisgarh,ChhattisgarhDist29,Soybean,Rabi,Canal,Clay,5.37,2.173,20,120.5,89.3,2998.14,1200
Gujarat,GujaratDist80,Paddy,Kharif,Rainfed,Sandy,3.7,1.497,50,185.49,205.0,6822.82,4000
Mizoram,MizoramDist141,Paddy,Kharif,Rainfed,Loam,1.73,0.7,50,86.77,82.41,3143.94,4000
Tamil Nadu,TamilDist137,Sugarcane,Kharif,Borewell,Sandy,2.21,0.894,80,191.92,128.2,71110.12,70000
Andhra Pradesh,AndhraDist106,Paddy,Kharif,Borewell,Loam,1.44,0.583,50,79.56,63.74,2344.2,4000
Maharashtra,MaharashtraDist126,Sugarcane,Zaid,Canal,Clay,5.39,2.181,80,502.0,333.2,147782.02,70000
Tripura,TripuraDist44,Paddy,Kharif,Borewell,Clay,1.55,0.627,50,78.58,69.54,2392.54,4000
Odisha,OdishaDist27,Groundnut,Rabi,Borewell,Loam,2.19,0.886,25,58.67,51.12,1207.39,1600
Bihar,BiharDist29,Wheat,Rabi,Rainfed,Clay,4.56,1.845,45,210.51,172.45,5835.38,3500
Tamil Nadu,TamilDist31,Sugarcane,Zaid,Borewell,Clay,0.98,0.397,80,90.41,50.74,28086.41,70000
Bihar,BiharDist43,Maize,Rabi,Rainfed,Loam,6.34,2.566,30,207.84,123.53,9024.16,3500
Madhya Pradesh,MadhyaDist90,Maize,Zaid,Borewell,Clay,0.54,0.219,30,16.81,17.19,711.99,3500
Himachal Pradesh,HimachalDist200,Apple,Zaid,Borewell,Loam,6.71,2.715,5,36.84,36.55,61231.64,20000
West Bengal,WestDist174,Paddy,Kharif,Canal,Loam,1.35,0.546,50,83.18,75.91,1987.58,4000
Himachal Pradesh,HimachalDist109,Maize,Zaid,Borewell,Clay,1.5,0.607,30,51.48,37.36,2067.41,3500
Andhra Pradesh,AndhraDist165,Paddy,Kharif,Borewell,Loam,0.4,0.162,50,24.04,13.21,735.94,4000
Chhattisgarh,ChhattisgarhDist151,Paddy,Kharif,Canal,Loam,1.27,0.514,50,77.8,78.08,1979.58,4000
Meghalaya,MeghalayaDist191,Millet,Zaid,Borewell,Loam,0.79,0.32,15,13.72,12.71,310.69,900
West Bengal,WestDist15,Paddy,Kharif,Borewell,Sandy,1.12,0.453,50,53.98,46.98,1968.61,4000
Odisha,OdishaDist200,Groundnut,Zaid,Rainfed,Loam,1.63,0.66,25,45.36,39.96,979.0,1600
Tamil Nadu,TamilDist18,Cotton,Zaid,Borewell,Sandy,3.92,1.586,20,86.32,65.42,1124.98,700
Gujarat,GujaratDist144,Cotton,Zaid,Rainfed,Loam,2.15,0.87,20,41.52,48.61,632.51,700
Himachal Pradesh,HimachalDist125,Apple,Zaid,Rainfed,Clay,2.33,0.943,5,10.26,12.22,17006.79,20000
Odisha,OdishaDist153,Groundnut,Zaid,Rainfed,Clay,0.76,0.308,25,19.77,12.93,538.06,1600
Kerala,KeralaDist22,Coconut,Rabi,Rainfed,Clay,0.9,0.364,10,8.6,7.33,2597.47,8000
Telangana,TelanganaDist88,Cotton,Rabi,Rainfed,Sandy,7.68,3.108,20,154.4,176.5,1934.38,700
Goa,GoaDist184,Paddy,Kharif,Rainfed,Loam,1.01,0.409,50,50.52,60.83,1825.73,4000
West Bengal,WestDist73,Paddy,Kharif,Rainfed,Clay,6.85,2.772,50,312.67,273.63,11354.39,4000
Tamil Nadu,TamilDist142,Sugarcane,Zaid,Borewell,Clay,1.5,0.607,80,132.91,135.66,45189.44,70000
Haryana,HaryanaDist175,Wheat,Rabi,Canal,Sandy,1.83,0.741,45,84.02,75.45,2274.05,3500
West Bengal,WestDist33,Paddy,Kharif,Borewell,Clay,4.29,1.736,50,207.78,206.25,7873.46,4000
Sikkim,SikkimDist62,Potato,Rabi,Rainfed,Clay,5.04,2.04,40,193.38,245.72,54626.09,25000
Arunachal Pradesh,ArunachalDist161,Millet,Zaid,Borewell,Clay,1.67,0.676,15,24.67,30.03,569.64,900
Tamil Nadu,TamilDist139,Cotton,Kharif,Borewell,Clay,1.34,0.542,20,30.24,29.79,423.67,700
Gujarat,GujaratDist104,Paddy,Kharif,Borewell,Loam,1.74,0.704,50,101.18,97.99,2996.55,4000
Sikkim,SikkimDist107,Potato,Rabi,Canal,Sandy,2.39,0.967,40,90.11,70.29,27214.38,25000
Karnataka,KarnatakaDist144,Sugarcane,Rabi,Rainfed,Sandy,3.72,1.505,80,272.47,338.72,100374.26,70000
Chhattisgarh,ChhattisgarhDist173,Soybean,Zaid,Rainfed,Sandy,1.83,0.741,20,36.11,44.8,1011.27,1200
Mizoram,MizoramDist107,Maize,Kharif,Rainfed,Loam,2.99,1.21,30,91.04,87.45,3747.16,3500
Bihar,BiharDist27,Paddy,Kharif,Borewell,Clay,6.76,2.736,50,344.81,286.69,11433.94,4000
Odisha,OdishaDist197,Paddy,Kharif,Borewell,Sandy,2.47,1.0,50,124.61,138.34,3605.42,4000
Jharkhand,JharkhandDist87,Maize,Kharif,Rainfed,Sandy,2.34,0.947,30,64.83,67.06,3465.05,3500
Tamil Nadu,TamilDist187,Paddy,Kharif,Borewell,Sandy,0.54,0.219,50,28.38,33.23,889.74,4000
Meghalaya,MeghalayaDist63,Millet,Kharif,Borewell,Sandy,0.22,0.089,15,3.4,2.24,71.64,900
Goa,GoaDist42,Cashew,Kharif,Borewell,Sandy,2.49,1.008,5,13.23,11.96,692.66,800
Tripura,TripuraDist104,Paddy,Kharif,Canal,Sandy,1.69,0.684,50,93.92,54.02,2661.08,4000
Maharashtra,MaharashtraDist56,Cotton,Kharif,Canal,Clay,1.21,0.49,20,28.0,27.79,347.84,700
Uttarakhand,UttarakhandDist35,Wheat,Rabi,Canal,Clay,2.21,0.894,45,102.49,108.67,3288.61,3500
Bihar,BiharDist194,Wheat,Rabi,Borewell,Loam,1.74,0.704,45,82.68,97.52,2444.12,3500
Telangana,TelanganaDist132,Cotton,Kharif,Canal,Loam,4.49,1.817,20,100.74,99.22,1282.51,700
Tripura,TripuraDist10,Maize,Zaid,Rainfed,Clay,1.95,0.789,30,59.48,70.81,2533.95,3500
Meghalaya,MeghalayaDist173,Paddy,Kharif,Canal,Sandy,1.0,0.405,50,48.22,46.4,1664.33,4000
Tamil Nadu,TamilDist46,Cotton,Rabi,Canal,Clay,4.02,1.627,20,86.8,93.46,1287.01,700
Punjab,PunjabDist88,Paddy,Kharif,Borewell,Clay,1.53,0.619,50,86.73,79.37,2305.06,4000
Madhya Pradesh,MadhyaDist154,Soybean,Rabi,Borewell,Clay,2.78,1.125,20,58.32,57.83,1183.9,1200
Mizoram,MizoramDist90,Paddy,Kharif,Canal,Clay,1.24,0.502,50,72.89,48.14,1993.17,4000
Andhra Pradesh,AndhraDist112,Paddy,Kharif,Borewell,Clay,1.08,0.437,50,60.84,58.89,1518.01,4000
Goa,GoaDist170,Cashew,Zaid,Rainfed,Loam,1.95,0.789,5,9.06,6.64,677.37,800
Himachal Pradesh,HimachalDist184,Paddy,Kharif,Borewell,Clay,1.84,0.745,50,107.27,68.52,2540.75,4000
Tripura,TripuraDist11,Paddy,Kharif,Rainfed,Clay,2.67,1.081,50,135.79,151.26,4679.34,4000
Telangana,TelanganaDist120,Maize,Kharif,Borewell,Clay,1.47,0.595,30,47.37,30.66,1862.54,3500
Madhya Pradesh,MadhyaDist163,Maize,Rabi,Borewell,Loam,0.42,0.17,30,13.73,12.13,591.71,3500
Odisha,OdishaDist197,Paddy,Kharif,Borewell,Clay,1.29,0.522,50,73.69,75.58,2025.19,4000
Maharashtra,MaharashtraDist137,Maize,Kharif,Borewell,Clay,3.44,1.392,30,104.69,128.52,4330.88,3500
Kerala,KeralaDist57,Rubber,Rabi,Borewell,Sandy,1.44,0.583,10,13.88,9.95,6328.39,10000
Meghalaya,MeghalayaDist184,Paddy,Kharif,Borewell,Sandy,1.5,0.607,50,71.94,46.72,2653.87,4000
Meghalaya,MeghalayaDist9,Paddy,Kharif,Borewell,Sandy,4.01,1.623,50,207.36,138.88,5921.79,4000
Gujarat,GujaratDist175,Paddy,Kharif,Canal,Clay,1.03,0.417,50,51.89,38.71,1798.19,4000
Bihar,BiharDist197,Wheat,Rabi,Rainfed,Sandy,0.53,0.214,45,20.71,18.67,727.86,3500
Assam,AssamDist119,Paddy,Kharif,Borewell,Clay,1.6,0.647,50,92.25,80.55,2211.32,4000
Haryana,HaryanaDist176,Paddy,Kharif,Borewell,Sandy,1.24,0.502,50,66.8,63.06,1929.98,4000
Sikkim,SikkimDist168,Paddy,Kharif,Canal,Clay,0.84,0.34,50,45.61,35.73,1162.54,4000
Rajasthan,RajasthanDist37,Wheat,Rabi,Borewell,Sandy,1.58,0.639,45,70.31,56.64,2460.81,3500
Bihar,BiharDist112,Maize,Rabi,Rainfed,Sandy,2.7,1.093,30,78.83,73.01,4017.85,3500
Jharkhand,JharkhandDist155,Paddy,Kharif,Borewell,Sandy,1.81,0.732,50,85.68,102.77,2664.67,4000
Maharashtra,MaharashtraDist163,Sugarcane,Zaid,Borewell,Sandy,2.33,0.943,80,206.82,175.59,67115.04,70000
Uttar Pradesh,UttarDist174,Sugarcane,Kharif,Borewell,Clay,7.77,3.144,80,680.56,618.29,247426.92,70000
Sikkim,SikkimDist153,Paddy,Kharif,Rainfed,Loam,1.38,0.558,50,72.87,42.43,2009.35,4000
Mizoram,MizoramDist175,Maize,Zaid,Rainfed,Clay,2.28,0.923,30,72.31,76.51,3500.06,3500
Sikkim,SikkimDist167,Paddy,Kharif,Borewell,Loam,1.21,0.49,50,66.65,53.38,2200.49,4000
Mizoram,MizoramDist127,Maize,Zaid,Rainfed,Loam,0.93,0.376,30,27.85,25.04,1511.07,3500
Maharashtra,MaharashtraDist144,Soybean,Kharif,Rainfed,Sandy,1.14,0.461,20,21.31,21.56,511.53,1200
Odisha,OdishaDist38,Groundnut,Zaid,Rainfed,Sandy,1.24,0.502,25,25.74,29.23,727.07,1600
West Bengal,WestDist174,Maize,Rabi,Borewell,Loam,2.43,0.983,30,79.17,70.56,3339.06,3500
Manipur,ManipurDist153,Maize,Kharif,Canal,Clay,11.93,4.828,30,362.86,355.19,17481.08,3500
Jharkhand,JharkhandDist93,Paddy,Kharif,Borewell,Sandy,1.03,0.417,50,50.84,57.27,1560.26,4000
Maharashtra,MaharashtraDist190,Sugarcane,Kharif,Borewell,Loam,1.31,0.53,80,118.17,77.68,32139.72,70000
West Bengal,WestDist98,Paddy,Kharif,Borewell,Loam,1.73,0.7,50,101.78,105.03,3170.1,4000
Sikkim,SikkimDist119,Potato,Rabi,Borewell,Sandy,2.5,1.012,40,111.18,82.81,24462.18,25000
Gujarat,GujaratDist130,Paddy,Kharif,Rainfed,Loam,2.25,0.911,50,107.06,120.86,3407.34,4000
Manipur,ManipurDist149,Maize,Zaid,Borewell,Loam,5.09,2.06,30,169.23,130.47,7851.74,3500
Bihar,BiharDist187,Paddy,Kharif,Rainfed,Clay,0.26,0.105,50,12.72,11.44,448.65,4000
Andhra Pradesh,AndhraDist115,Groundnut,Rabi,Borewell,Sandy,0.27,0.109,25,6.4,5.41,197.06,1600
Tripura,TripuraDist24,Paddy,Kharif,Rainfed,Sandy,1.23,0.498,50,55.03,51.41,2253.54,4000
Meghalaya,MeghalayaDist107,Millet,Kharif,Rainfed,Sandy,4.38,1.773,15,62.51,65.02,1593.19,900
Jharkhand,JharkhandDist193,Pulses,Zaid,Rainfed,Sandy,0.52,0.21,10,5.21,3.48,137.83,700
Meghalaya,MeghalayaDist127,Paddy,Kharif,Rainfed,Clay,0.2,0.081,50,9.57,9.74,304.34,4000
Uttar Pradesh,UttarDist191,Wheat,Rabi,Rainfed,Loam,2.88,1.165,45,132.88,142.47,4546.94,3500
Tripura,TripuraDist23,Maize,Kharif,Canal,Sandy,2.21,0.894,30,61.24,54.08,3070.85,3500
Nagaland,NagalandDist193,Paddy,Kharif,Canal,Clay,0.76,0.308,50,42.61,33.73,1264.72,4000
Nagaland,NagalandDist104,Paddy,Kharif,Rainfed,Clay,0.83,0.336,50,38.21,32.02,1159.52,4000
Mizoram,MizoramDist62,Maize,Zaid,Borewell,Loam,0.84,0.34,30,27.76,27.35,1031.93,3500
Arunachal Pradesh,ArunachalDist77,Millet,Rabi,Borewell,Sandy,1.99,0.805,15,33.06,21.12,818.37,900
Tripura,TripuraDist48,Paddy,Kharif,Borewell,Sandy,1.1,0.445,50,54.93,44.8,2045.97,4000
Uttarakhand,UttarakhandDist134,Rice,Zaid,Borewell,Loam,2.71,1.097,30,97.21,75.44,2859.26,3000
Nagaland,NagalandDist77,Paddy,Kharif,Borewell,Clay,0.2,0.081,50,10.54,7.89,316.68,4000
Odisha,OdishaDist150,Paddy,Kharif,Borewell,Clay,0.92,0.372,50,46.94,35.86,1458.11,4000
Bihar,BiharDist87,Wheat,Rabi,Rainfed,Loam,0.74,0.299,45,33.39,24.01,927.33,3500
Arunachal Pradesh,ArunachalDist105,Paddy,Kharif,Rainfed,Sandy,1.48,0.599,50,66.85,59.46,2288.76,4000
Tamil Nadu,TamilDist78,Cotton,Zaid,Rainfed,Loam,1.18,0.478,20,24.66,28.01,288.58,700
Bihar,BiharDist183,Maize,Zaid,Rainfed,Loam,3.45,1.396,30,99.46,70.91,4950.81,3500
Tamil Nadu,TamilDist7,Cotton,Rabi,Borewell,Loam,0.41,0.166,20,9.25,6.6,98.73,700
Goa,GoaDist18,Cashew,Rabi,Borewell,Sandy,1.89,0.765,5,8.69,11.76,682.43,800
Goa,GoaDist15,Cashew,Rabi,Rainfed,Loam,2.85,1.153,5,15.82,9.41,888.02,800
Madhya Pradesh,MadhyaDist49,Maize,Zaid,Rainfed,Sandy,8.05,3.258,30,213.39,234.09,11670.21,3500
Madhya Pradesh,MadhyaDist190,Maize,Zaid,Borewell,Clay,1.24,0.502,30,38.56,36.24,1846.88,3500
Uttar Pradesh,UttarDist170,Sugarcane,Kharif,Rainfed,Sandy,2.36,0.955,80,170.79,167.03,66887.59,70000
Meghalaya,MeghalayaDist153,Paddy,Kharif,Canal,Sandy,0.43,0.174,50,19.78,17.25,789.59,4000
West Bengal,WestDist94,Paddy,Kharif,Rainfed,Sandy,0.27,0.109,50,13.42,16.47,482.62,4000
Andhra Pradesh,AndhraDist36,Maize,Zaid,Borewell,Clay,3.58,1.449,30,105.64,131.66,4644.78,3500
Assam,AssamDist198,Paddy,Kharif,Borewell,Clay,1.81,0.732,50,90.52,62.23,2984.9,4000
Uttar Pradesh,UttarDist174,Paddy,Kharif,Borewell,Loam,4.68,1.894,50,286.04,266.16,7525.73,4000
Assam,AssamDist139,Tea,Rabi,Borewell,Sandy,0.61,0.247,10,6.02,4.27,607.7,2500
Andhra Pradesh,AndhraDist107,Maize,Rabi,Borewell,Sandy,2.76,1.117,30,91.15,100.66,3535.52,3500
Uttar Pradesh,UttarDist95,Sugarcane,Kharif,Rainfed,Sandy,8.13,3.29,80,566.98,415.41,222591.42,70000
Assam,AssamDist165,Tea,Rabi,Canal,Loam,2.55,1.032,10,26.81,17.25,2526.95,2500
Assam,AssamDist200,Paddy,Kharif,Rainfed,Sandy,2.27,0.919,50,109.19,131.8,3906.55,4000
Haryana,HaryanaDist191,Cotton,Zaid,Rainfed,Loam,1.83,0.741,20,35.02,26.29,496.19,700
Mizoram,MizoramDist73,Maize,Zaid,Rainfed,Loam,0.52,0.21,30,14.5,17.35,674.92,3500
Uttarakhand,UttarakhandDist27,Wheat,Rabi,Rainfed,Sandy,5.39,2.181,45,230.2,225.13,7875.58,3500
West Bengal,WestDist141,Paddy,Kharif,Rainfed,Sandy,1.12,0.453,50,50.41,37.52,1955.94,4000
Arunachal Pradesh,ArunachalDist56,Millet,Rabi,Borewell,Loam,2.73,1.105,15,42.34,28.32,859.77,900
Uttar Pradesh,UttarDist177,Paddy,Kharif,Borewell,Loam,0.52,0.21,50,28.69,20.23,741.55,4000
Nagaland,NagalandDist139,Paddy,Kharif,Borewell,Sandy,0.71,0.287,50,38.22,30.69,991.57,4000
Tamil Nadu,TamilDist142,Paddy,Kharif,Rainfed,Clay,5.74,2.323,50,300.3,220.08,10140.22,4000
Uttarakhand,UttarakhandDist104,Rice,Rabi,Canal,Clay,1.38,0.558,30,42.28,40.07,1601.21,3000
Andhra Pradesh,AndhraDist106,Groundnut,Zaid,Rainfed,Sandy,5.83,2.359,25,129.76,173.54,3776.61,1600
Uttarakhand,UttarakhandDist176,Rice,Zaid,Rainfed,Clay,1.71,0.692,30,48.15,45.19,2111.85,3000
Punjab,PunjabDist21,Paddy,Kharif,Canal,Loam,0.42,0.17,50,23.56,14.53,778.35,4000
Jharkhand,JharkhandDist167,Paddy,Kharif,Rainfed,Sandy,3.72,1.505,50,154.98,186.59,5939.18,4000
Manipur,ManipurDist104,Maize,Kharif,Borewell,Loam,1.14,0.461,30,39.78,34.46,1511.84,3500
Tripura,TripuraDist74,Maize,Zaid,Borewell,Sandy,3.19,1.291,30,103.22,69.57,3970.33,3500
Meghalaya,MeghalayaDist183,Paddy,Kharif,Canal,Sandy,1.86,0.753,50,92.78,84.18,2824.34,4000
Madhya Pradesh,MadhyaDist34,Maize,Rabi,Canal,Loam,0.53,0.214,30,16.6,17.63,792.67,3500
Punjab,PunjabDist185,Paddy,Kharif,Rainfed,Loam,2.08,0.842,50,97.95,88.78,3000.43,4000
Nagaland,NagalandDist103,Maize,Rabi,Borewell,Loam,10.56,4.273,30,342.88,297.59,13925.46,3500
Nagaland,NagalandDist191,Maize,Rabi,Rainfed,Loam,2.7,1.093,30,80.73,68.53,4213.43,3500
Meghalaya,MeghalayaDist23,Millet,Kharif,Borewell,Clay,1.74,0.704,15,29.72,24.1,563.8,900
Tamil Nadu,TamilDist191,Paddy,Kharif,Borewell,Clay,4.31,1.744,50,216.29,157.75,6247.1,4000
Madhya Pradesh,MadhyaDist154,Wheat,Rabi,Borewell,Clay,2.16,0.874,45,109.1,91.33,3168.93,3500
Madhya Pradesh,MadhyaDist39,Wheat,Rabi,Canal,Loam,2.15,0.87,45,105.86,111.46,2898.62,3500
Andhra Pradesh,AndhraDist31,Groundnut,Rabi,Rainfed,Loam,0.76,0.308,25,18.69,20.88,446.1,1600
Mizoram,MizoramDist74,Maize,Rabi,Rainfed,Loam,2.2,0.89,30,64.91,80.81,3231.7,3500
Sikkim,SikkimDist22,Paddy,Kharif,Borewell,Loam,4.17,1.688,50,244.84,221.47,5751.07,4000
Chhattisgarh,ChhattisgarhDist179,Soybean,Rabi,Rainfed,Sandy,0.93,0.376,20,16.2,12.48,494.23,1200
Rajasthan,RajasthanDist178,Bajra,Rabi,Rainfed,Sandy,5.7,2.307,12,68.23,62.62,1903.18,900
Uttar Pradesh,UttarDist140,Wheat,Rabi,Rainfed,Sandy,1.69,0.684,45,69.54,86.88,2459.6,3500
Chhattisgarh,ChhattisgarhDist38,Soybean,Rabi,Borewell,Loam,0.9,0.364,20,18.64,12.14,493.52,1200
Haryana,HaryanaDist133,Wheat,Rabi,Borewell,Sandy,4.05,1.639,45,201.44,211.88,6426.87,3500
Assam,AssamDist80,Paddy,Kharif,Rainfed,Loam,1.45,0.587,50,78.16,70.21,2101.15,4000
Goa,GoaDist56,Cashew,Rabi,Rainfed,Sandy,3.35,1.356,5,16.24,18.27,1063.48,800
Sikkim,SikkimDist89,Potato,Rabi,Borewell,Clay,1.44,0.583,40,61.1,45.13,16509.96,25000
West Bengal,WestDist51,Paddy,Kharif,Canal,Sandy,1.74,0.704,50,85.06,81.76,2844.66,4000
Telangana,TelanganaDist52,Maize,Zaid,Borewell,Clay,2.7,1.093,30,83.27,58.38,3984.21,3500
Karnataka,KarnatakaDist85,Ragi,Kharif,Rainfed,Sandy,2.3,0.931,15,32.88,37.68,945.73,1000
Arunachal Pradesh,ArunachalDist121,Paddy,Kharif,Borewell,Clay,0.37,0.15,50,18.77,19.95,542.64,4000
Goa,GoaDist182,Paddy,Kharif,Rainfed,Clay,0.74,0.299,50,35.13,32.67,1347.04,4000
Arunachal Pradesh,ArunachalDist115,Paddy,Kharif,Canal,Clay,3.83,1.55,50,197.02,202.88,6809.47,4000
Assam,AssamDist56,Paddy,Kharif,Borewell,Clay,1.64,0.664,50,84.61,53.05,2927.12,4000
Tamil Nadu,TamilDist102,Sugarcane,Zaid,Borewell,Loam,1.2,0.486,80,99.55,106.09,36128.6,70000
Chhattisgarh,ChhattisgarhDist22,Paddy,Kharif,Rainfed,Loam,0.61,0.247,50,30.92,24.16,1105.48,4000
Himachal Pradesh,HimachalDist72,Paddy,Kharif,Borewell,Sandy,0.77,0.312,50,41.62,23.48,1204.44,4000
Jharkhand,JharkhandDist80,Maize,Kharif,Canal,Sandy,0.36,0.146,30,10.73,8.63,541.7,3500
Himachal Pradesh,HimachalDist93,Apple,Kharif,Borewell,Sandy,1.68,0.68,5,9.13,5.57,12057.47,20000
Haryana,HaryanaDist111,Wheat,Rabi,Rainfed,Clay,1.13,0.457,45,52.03,61.34,1439.5,3500
Uttarakhand,UttarakhandDist78,Wheat,Rabi,Borewell,Loam,0.84,0.34,45,44.59,41.02,1293.94,3500
Haryana,HaryanaDist92,Paddy,Kharif,Borewell,Sandy,1.73,0.7,50,87.95,93.44,2836.33,4000
Uttarakhand,UttarakhandDist122,Wheat,Rabi,Rainfed,Sandy,2.44,0.987,45,101.68,102.04,3806.33,3500
Mizoram,MizoramDist156,Maize,Kharif,Rainfed,Loam,9.72,3.934,30,274.33,283.51,12336.08,3500
Himachal Pradesh,HimachalDist12,Apple,Rabi,Canal,Loam,0.54,0.219,5,3.05,2.48,4093.25,20000
Gujarat,GujaratDist11,Groundnut,Kharif,Borewell,Loam,4.61,1.866,25,122.72,114.25,2773.66,1600
Manipur,ManipurDist189,Paddy,Kharif,Borewell,Loam,3.97,1.607,50,231.35,245.62,6873.38,4000
Mizoram,MizoramDist128,Paddy,Kharif,Rainfed,Sandy,0.98,0.397,50,44.78,44.05,1692.53,4000
Himachal Pradesh,HimachalDist91,Apple,Rabi,Borewell,Clay,2.14,0.866,5,11.2,12.4,19825.2,20000
Madhya Pradesh,MadhyaDist141,Wheat,Rabi,Borewell,Clay,1.26,0.51,45,59.27,60.45,1603.73,3500
West Bengal,WestDist149,Paddy,Kharif,Borewell,Loam,2.11,0.854,50,125.33,107.53,3033.41,4000
Uttarakhand,UttarakhandDist113,Rice,Zaid,Canal,Sandy,6.09,2.465,30,173.68,175.6,6864.8,3000
Chhattisgarh,ChhattisgarhDist77,Maize,Rabi,Rainfed,Loam,2.96,1.198,30,92.1,64.68,3577.62,3500
